Date,MWh,weekday,month
2024-08-14,465624,4,8
2024-08-13,436644,3,8
2024-08-12,436269,2,8
2024-08-11,421810,1,8
2024-08-10,459300,7,8
2024-08-09,498953,6,8
2024-08-08,437163,5,8
2024-08-07,448992,4,8
2024-08-06,537462,3,8
2024-08-05,544649,2,8
2024-08-04,501763,1,8
2024-08-03,536896,7,8
2024-08-02,580016,6,8
2024-08-01,578337,5,8
2024-07-31,565967,4,7
2024-07-30,549083,3,7
2024-07-29,512723,2,7
2024-07-28,457041,1,7
2024-07-27,446802,7,7
2024-07-26,459510,6,7
2024-07-25,504415,5,7
2024-07-24,522291,4,7
2024-07-23,515697,3,7
2024-07-22,526457,2,7
2024-07-21,482653,1,7
2024-07-20,457240,7,7
2024-07-19,474958,6,7
2024-07-18,523047,5,7
2024-07-17,572022,4,7
2024-07-16,592567,3,7
2024-07-15,582246,2,7
2024-07-14,519002,1,7
2024-07-13,514810,7,7
2024-07-12,537021,6,7
2024-07-11,560345,5,7
2024-07-10,596679,4,7
2024-07-09,584881,3,7
2024-07-08,575041,2,7
2024-07-07,521388,1,7
2024-07-06,524043,7,7
2024-07-05,535062,6,7
2024-07-04,468304,5,7
2024-07-03,464048,4,7
2024-07-02,442764,3,7
2024-07-01,431153,2,7
2024-06-30,459818,1,6
2024-06-29,428966,7,6
2024-06-28,413704,6,6
2024-06-27,474388,5,6
2024-06-26,525513,4,6
2024-06-25,488333,3,6
2024-06-24,487872,2,6
2024-06-23,528587,1,6
2024-06-22,535052,7,6
2024-06-21,569747,6,6
2024-06-20,560371,5,6
2024-06-19,543998,4,6
2024-06-18,528597,3,6
2024-06-17,472702,2,6
2024-06-16,373330,1,6
2024-06-15,392856,7,6
2024-06-14,460500,6,6
2024-06-13,437863,5,6
2024-06-12,400073,4,6
2024-06-11,396022,3,6
2024-06-10,397209,2,6
2024-06-09,372919,1,6
2024-06-08,379216,7,6
2024-06-07,437779,6,6
2024-06-06,475275,5,6
2024-06-05,461009,4,6
2024-06-04,455096,3,6
2024-06-03,448343,2,6
2024-06-02,378133,1,6
2024-06-01,360183,7,6
2024-05-31,365780,6,5
2024-05-30,368523,5,5
2024-05-29,393945,4,5
2024-05-28,415978,3,5
2024-05-27,398974,2,5
2024-05-26,382548,1,5
2024-05-25,375230,7,5
2024-05-24,414012,6,5
2024-05-23,424937,5,5
2024-05-22,434377,4,5
2024-05-21,408914,3,5
2024-05-20,377636,2,5
2024-05-19,336057,1,5
2024-05-18,336962,7,5
2024-05-17,358677,6,5
2024-05-16,363810,5,5
2024-05-15,367413,4,5
2024-05-14,354711,3,5
2024-05-13,347954,2,5
2024-05-12,322479,1,5
2024-05-11,318881,7,5
2024-05-10,355509,6,5
2024-05-09,361010,5,5
2024-05-08,377331,4,5
2024-05-07,351355,3,5
2024-05-06,350571,2,5
2024-05-05,337959,1,5
2024-05-04,322139,7,5
2024-05-03,341940,6,5
2024-05-02,349936,5,5
2024-05-01,350558,4,5
2024-04-30,357614,3,4
2024-04-29,367015,2,4
2024-04-28,325176,1,4
2024-04-27,326116,7,4
2024-04-26,339869,6,4
2024-04-25,343892,5,4
2024-04-24,355440,4,4
2024-04-23,342348,3,4
2024-04-22,342465,2,4
2024-04-21,338783,1,4
2024-04-20,332701,7,4
2024-04-19,358950,6,4
2024-04-18,374256,5,4
2024-04-17,356408,4,4
2024-04-16,339492,3,4
2024-04-15,350306,2,4
2024-04-14,335281,1,4
2024-04-13,348744,7,4
2024-04-12,362000,6,4
2024-04-11,365841,5,4
2024-04-10,355212,4,4
2024-04-09,346768,3,4
2024-04-08,359559,2,4
2024-04-07,331645,1,4
2024-04-06,356074,7,4
2024-04-05,388378,6,4
2024-04-04,397689,5,4
2024-04-03,407045,4,4
2024-04-02,387097,3,4
2024-04-01,367507,2,4
2024-03-31,324834,1,3
2024-03-30,344454,7,3
2024-03-29,368971,6,3
2024-03-28,385640,5,3
2024-03-27,383448,4,3
2024-03-26,385561,3,3
2024-03-25,383981,2,3
2024-03-24,374124,1,3
2024-03-23,401240,7,3
2024-03-22,415370,6,3
2024-03-21,410406,5,3
2024-03-20,397710,4,3
2024-03-19,393405,3,3
2024-03-18,382298,2,3
2024-03-17,336793,1,3
2024-03-16,335411,7,3
2024-03-15,366545,6,3
2024-03-14,357131,5,3
2024-03-13,359800,4,3
2024-03-12,368076,3,3
2024-03-11,396162,2,3
2024-03-10,359499,1,3
2024-03-09,379781,7,3
2024-03-08,367479,6,3
2024-03-07,381120,5,3
2024-03-06,389117,4,3
2024-03-05,384689,3,3
2024-03-04,367679,2,3
2024-03-03,351663,1,3
2024-03-02,386945,7,3
2024-03-01,402317,6,3
2024-02-29,421602,5,2
2024-02-28,396623,4,2
2024-02-27,385408,3,2
2024-02-26,395371,2,2
2024-02-25,393214,1,2
2024-02-24,388729,7,2
2024-02-23,401186,6,2
2024-02-22,416491,5,2
2024-02-21,418196,4,2
2024-02-20,428184,3,2
2024-02-19,415805,2,2
2024-02-18,418952,1,2
2024-02-17,421321,7,2
2024-02-16,426724,6,2
2024-02-15,441473,5,2
2024-02-14,436800,4,2
2024-02-13,427326,3,2
