,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
79,2025-01-18,NY,New York,D,Demand,Eastern,Eastern,423690,megawatthours
80,2025-01-17,NY,New York,D,Demand,Eastern,Eastern,452520,megawatthours
81,2025-01-16,NY,New York,D,Demand,Eastern,Eastern,471935,megawatthours
82,2025-01-15,NY,New York,D,Demand,Eastern,Eastern,429499,megawatthours
83,2025-01-14,NY,New York,D,Demand,Eastern,Eastern,460618,megawatthours
84,2025-01-13,NY,New York,D,Demand,Eastern,Eastern,450534,megawatthours
85,2025-01-12,NY,New York,D,Demand,Eastern,Eastern,420996,megawatthours
86,2025-01-11,NY,New York,D,Demand,Eastern,Eastern,439882,megawatthours
87,2025-01-10,NY,New York,D,Demand,Eastern,Eastern,457755,megawatthours
88,2025-01-09,NY,New York,D,Demand,Eastern,Eastern,490373,megawatthours
89,2025-01-08,NY,New York,D,Demand,Eastern,Eastern,491538,megawatthours
90,2025-01-07,NY,New York,D,Demand,Eastern,Eastern,489499,megawatthours
91,2025-01-06,NY,New York,D,Demand,Eastern,Eastern,478157,megawatthours
92,2025-01-05,NY,New York,D,Demand,Eastern,Eastern,444306,megawatthours
93,2025-01-04,NY,New York,D,Demand,Eastern,Eastern,444490,megawatthours
94,2025-01-03,NY,New York,D,Demand,Eastern,Eastern,443961,megawatthours
95,2025-01-02,NY,New York,D,Demand,Eastern,Eastern,433967,megawatthours
96,2025-01-01,NY,New York,D,Demand,Eastern,Eastern,386468,megawatthours
97,2024-12-31,NY,New York,D,Demand,Eastern,Eastern,387803,megawatthours
98,2024-12-30,NY,New York,D,Demand,Eastern,Eastern,389721,megawatthours
99,2024-12-29,NY,New York,D,Demand,Eastern,Eastern,384030,megawatthours
100,2024-12-28,NY,New York,D,Demand,Eastern,Eastern,407169,megawatthours
101,2024-12-27,NY,New York,D,Demand,Eastern,Eastern,446691,megawatthours
102,2024-12-26,NY,New York,D,Demand,Eastern,Eastern,452405,megawatthours
103,2024-12-25,NY,New York,D,Demand,Eastern,Eastern,421329,megawatthours
104,2024-12-24,NY,New York,D,Demand,Eastern,Eastern,452742,megawatthours
105,2024-12-23,NY,New York,D,Demand,Eastern,Eastern,499812,megawatthours
106,2024-12-22,NY,New York,D,Demand,Eastern,Eastern,478530,megawatthours
107,2024-12-21,NY,New York,D,Demand,Eastern,Eastern,454146,megawatthours
108,2024-12-20,NY,New York,D,Demand,Eastern,Eastern,450901,megawatthours
109,2024-12-19,NY,New York,D,Demand,Eastern,Eastern,425504,megawatthours
110,2024-12-18,NY,New York,D,Demand,Eastern,Eastern,413074,megawatthours
111,2024-12-17,NY,New York,D,Demand,Eastern,Eastern,406974,megawatthours
112,2024-12-16,NY,New York,D,Demand,Eastern,Eastern,434083,megawatthours
113,2024-12-15,NY,New York,D,Demand,Eastern,Eastern,432459,megawatthours
114,2024-12-14,NY,New York,D,Demand,Eastern,Eastern,434485,megawatthours
115,2024-12-13,NY,New York,D,Demand,Eastern,Eastern,453408,megawatthours
116,2024-12-12,NY,New York,D,Demand,Eastern,Eastern,433378,megawatthours
117,2024-12-11,NY,New York,D,Demand,Eastern,Eastern,412993,megawatthours
118,2024-12-10,NY,New York,D,Demand,Eastern,Eastern,415010,megawatthours
119,2024-12-09,NY,New York,D,Demand,Eastern,Eastern,424459,megawatthours
120,2024-12-08,NY,New York,D,Demand,Eastern,Eastern,403297,megawatthours
121,2024-12-07,NY,New York,D,Demand,Eastern,Eastern,426283,megawatthours
122,2024-12-06,NY,New York,D,Demand,Eastern,Eastern,452742,megawatthours
123,2024-12-05,NY,New York,D,Demand,Eastern,Eastern,445660,megawatthours
124,2024-12-04,NY,New York,D,Demand,Eastern,Eastern,447651,megawatthours
125,2024-12-03,NY,New York,D,Demand,Eastern,Eastern,440665,megawatthours
126,2024-12-02,NY,New York,D,Demand,Eastern,Eastern,439637,megawatthours
127,2024-12-01,NY,New York,D,Demand,Eastern,Eastern,412709,megawatthours
128,2024-11-30,NY,New York,D,Demand,Eastern,Eastern,398752,megawatthours
129,2024-11-29,NY,New York,D,Demand,Eastern,Eastern,387608,megawatthours
130,2024-11-28,NY,New York,D,Demand,Eastern,Eastern,380960,megawatthours
131,2024-11-27,NY,New York,D,Demand,Eastern,Eastern,389193,megawatthours
132,2024-11-26,NY,New York,D,Demand,Eastern,Eastern,395848,megawatthours
133,2024-11-25,NY,New York,D,Demand,Eastern,Eastern,386591,megawatthours
134,2024-11-24,NY,New York,D,Demand,Eastern,Eastern,368594,megawatthours
135,2024-11-23,NY,New York,D,Demand,Eastern,Eastern,374705,megawatthours
136,2024-11-22,NY,New York,D,Demand,Eastern,Eastern,406854,megawatthours
137,2024-11-21,NY,New York,D,Demand,Eastern,Eastern,394330,megawatthours
138,2024-11-20,NY,New York,D,Demand,Eastern,Eastern,378483,megawatthours
139,2024-11-19,NY,New York,D,Demand,Eastern,Eastern,376740,megawatthours
140,2024-11-18,NY,New York,D,Demand,Eastern,Eastern,371605,megawatthours
141,2024-11-17,NY,New York,D,Demand,Eastern,Eastern,353747,megawatthours
142,2024-11-16,NY,New York,D,Demand,Eastern,Eastern,354835,megawatthours
143,2024-11-15,NY,New York,D,Demand,Eastern,Eastern,386291,megawatthours
144,2024-11-14,NY,New York,D,Demand,Eastern,Eastern,400435,megawatthours
145,2024-11-13,NY,New York,D,Demand,Eastern,Eastern,387730,megawatthours
146,2024-11-12,NY,New York,D,Demand,Eastern,Eastern,377863,megawatthours
147,2024-11-11,NY,New York,D,Demand,Eastern,Eastern,374033,megawatthours
148,2024-11-10,NY,New York,D,Demand,Eastern,Eastern,355474,megawatthours
149,2024-11-09,NY,New York,D,Demand,Eastern,Eastern,344838,megawatthours
150,2024-11-08,NY,New York,D,Demand,Eastern,Eastern,367491,megawatthours
151,2024-11-07,NY,New York,D,Demand,Eastern,Eastern,378476,megawatthours
152,2024-11-06,NY,New York,D,Demand,Eastern,Eastern,386179,megawatthours
153,2024-11-05,NY,New York,D,Demand,Eastern,Eastern,371794,megawatthours
154,2024-11-04,NY,New York,D,Demand,Eastern,Eastern,385333,megawatthours
155,2024-11-03,NY,New York,D,Demand,Eastern,Eastern,358226,megawatthours
156,2024-11-02,NY,New York,D,Demand,Eastern,Eastern,345239,megawatthours
157,2024-11-01,NY,New York,D,Demand,Eastern,Eastern,380282,megawatthours
158,2024-10-31,NY,New York,D,Demand,Eastern,Eastern,376387,megawatthours
159,2024-10-30,NY,New York,D,Demand,Eastern,Eastern,369942,megawatthours
160,2024-10-29,NY,New York,D,Demand,Eastern,Eastern,380778,megawatthours
161,2024-10-28,NY,New York,D,Demand,Eastern,Eastern,369182,megawatthours
162,2024-10-27,NY,New York,D,Demand,Eastern,Eastern,340857,megawatthours
163,2024-10-26,NY,New York,D,Demand,Eastern,Eastern,337178,megawatthours
164,2024-10-25,NY,New York,D,Demand,Eastern,Eastern,361117,megawatthours
165,2024-10-24,NY,New York,D,Demand,Eastern,Eastern,366182,megawatthours
166,2024-10-23,NY,New York,D,Demand,Eastern,Eastern,376031,megawatthours
167,2024-10-22,NY,New York,D,Demand,Eastern,Eastern,373493,megawatthours
168,2024-10-21,NY,New York,D,Demand,Eastern,Eastern,363870,megawatthours
169,2024-10-20,NY,New York,D,Demand,Eastern,Eastern,330021,megawatthours
170,2024-10-19,NY,New York,D,Demand,Eastern,Eastern,334870,megawatthours
171,2024-10-18,NY,New York,D,Demand,Eastern,Eastern,359360,megawatthours
172,2024-10-17,NY,New York,D,Demand,Eastern,Eastern,365921,megawatthours
173,2024-10-16,NY,New York,D,Demand,Eastern,Eastern,371418,megawatthours
