,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
345,2024-04-27,NY,New York,D,Demand,Eastern,Eastern,326116,megawatthours
346,2024-04-26,NY,New York,D,Demand,Eastern,Eastern,339869,megawatthours
347,2024-04-25,NY,New York,D,Demand,Eastern,Eastern,343892,megawatthours
348,2024-04-24,NY,New York,D,Demand,Eastern,Eastern,355440,megawatthours
349,2024-04-23,NY,New York,D,Demand,Eastern,Eastern,342348,megawatthours
350,2024-04-22,NY,New York,D,Demand,Eastern,Eastern,342465,megawatthours
351,2024-04-21,NY,New York,D,Demand,Eastern,Eastern,338783,megawatthours
352,2024-04-20,NY,New York,D,Demand,Eastern,Eastern,332701,megawatthours
353,2024-04-19,NY,New York,D,Demand,Eastern,Eastern,358950,megawatthours
354,2024-04-18,NY,New York,D,Demand,Eastern,Eastern,374256,megawatthours
355,2024-04-17,NY,New York,D,Demand,Eastern,Eastern,356408,megawatthours
356,2024-04-16,NY,New York,D,Demand,Eastern,Eastern,339492,megawatthours
357,2024-04-15,NY,New York,D,Demand,Eastern,Eastern,350306,megawatthours
358,2024-04-14,NY,New York,D,Demand,Eastern,Eastern,335281,megawatthours
359,2024-04-13,NY,New York,D,Demand,Eastern,Eastern,348744,megawatthours
360,2024-04-12,NY,New York,D,Demand,Eastern,Eastern,362000,megawatthours
361,2024-04-11,NY,New York,D,Demand,Eastern,Eastern,365841,megawatthours
362,2024-04-10,NY,New York,D,Demand,Eastern,Eastern,355212,megawatthours
363,2024-04-09,NY,New York,D,Demand,Eastern,Eastern,346768,megawatthours
364,2024-04-08,NY,New York,D,Demand,Eastern,Eastern,359559,megawatthours
365,2024-04-07,NY,New York,D,Demand,Eastern,Eastern,331645,megawatthours
366,2024-04-06,NY,New York,D,Demand,Eastern,Eastern,356074,megawatthours
367,2024-04-05,NY,New York,D,Demand,Eastern,Eastern,388378,megawatthours
368,2024-04-04,NY,New York,D,Demand,Eastern,Eastern,397689,megawatthours
369,2024-04-03,NY,New York,D,Demand,Eastern,Eastern,407045,megawatthours
370,2024-04-02,NY,New York,D,Demand,Eastern,Eastern,387097,megawatthours
371,2024-04-01,NY,New York,D,Demand,Eastern,Eastern,367507,megawatthours
372,2024-03-31,NY,New York,D,Demand,Eastern,Eastern,324834,megawatthours
373,2024-03-30,NY,New York,D,Demand,Eastern,Eastern,344454,megawatthours
374,2024-03-29,NY,New York,D,Demand,Eastern,Eastern,368971,megawatthours
375,2024-03-28,NY,New York,D,Demand,Eastern,Eastern,385640,megawatthours
376,2024-03-27,NY,New York,D,Demand,Eastern,Eastern,383448,megawatthours
377,2024-03-26,NY,New York,D,Demand,Eastern,Eastern,385561,megawatthours
378,2024-03-25,NY,New York,D,Demand,Eastern,Eastern,383981,megawatthours
379,2024-03-24,NY,New York,D,Demand,Eastern,Eastern,374124,megawatthours
380,2024-03-23,NY,New York,D,Demand,Eastern,Eastern,401240,megawatthours
381,2024-03-22,NY,New York,D,Demand,Eastern,Eastern,415370,megawatthours
382,2024-03-21,NY,New York,D,Demand,Eastern,Eastern,410406,megawatthours
383,2024-03-20,NY,New York,D,Demand,Eastern,Eastern,397710,megawatthours
384,2024-03-19,NY,New York,D,Demand,Eastern,Eastern,393405,megawatthours
385,2024-03-18,NY,New York,D,Demand,Eastern,Eastern,382298,megawatthours
386,2024-03-17,NY,New York,D,Demand,Eastern,Eastern,336793,megawatthours
387,2024-03-16,NY,New York,D,Demand,Eastern,Eastern,335411,megawatthours
388,2024-03-15,NY,New York,D,Demand,Eastern,Eastern,366545,megawatthours
389,2024-03-14,NY,New York,D,Demand,Eastern,Eastern,357131,megawatthours
390,2024-03-13,NY,New York,D,Demand,Eastern,Eastern,359800,megawatthours
391,2024-03-12,NY,New York,D,Demand,Eastern,Eastern,368076,megawatthours
392,2024-03-11,NY,New York,D,Demand,Eastern,Eastern,396162,megawatthours
393,2024-03-10,NY,New York,D,Demand,Eastern,Eastern,359499,megawatthours
394,2024-03-09,NY,New York,D,Demand,Eastern,Eastern,379781,megawatthours
395,2024-03-08,NY,New York,D,Demand,Eastern,Eastern,367479,megawatthours
396,2024-03-07,NY,New York,D,Demand,Eastern,Eastern,381120,megawatthours
397,2024-03-06,NY,New York,D,Demand,Eastern,Eastern,389117,megawatthours
398,2024-03-05,NY,New York,D,Demand,Eastern,Eastern,384689,megawatthours
399,2024-03-04,NY,New York,D,Demand,Eastern,Eastern,367679,megawatthours
400,2024-03-03,NY,New York,D,Demand,Eastern,Eastern,351663,megawatthours
401,2024-03-02,NY,New York,D,Demand,Eastern,Eastern,386945,megawatthours
402,2024-03-01,NY,New York,D,Demand,Eastern,Eastern,402317,megawatthours
403,2024-02-29,NY,New York,D,Demand,Eastern,Eastern,421602,megawatthours
404,2024-02-28,NY,New York,D,Demand,Eastern,Eastern,396623,megawatthours
405,2024-02-27,NY,New York,D,Demand,Eastern,Eastern,385408,megawatthours
406,2024-02-26,NY,New York,D,Demand,Eastern,Eastern,395371,megawatthours
407,2024-02-25,NY,New York,D,Demand,Eastern,Eastern,393214,megawatthours
408,2024-02-24,NY,New York,D,Demand,Eastern,Eastern,388729,megawatthours
409,2024-02-23,NY,New York,D,Demand,Eastern,Eastern,401186,megawatthours
410,2024-02-22,NY,New York,D,Demand,Eastern,Eastern,416491,megawatthours
411,2024-02-21,NY,New York,D,Demand,Eastern,Eastern,418196,megawatthours
412,2024-02-20,NY,New York,D,Demand,Eastern,Eastern,428184,megawatthours
413,2024-02-19,NY,New York,D,Demand,Eastern,Eastern,415805,megawatthours
414,2024-02-18,NY,New York,D,Demand,Eastern,Eastern,418952,megawatthours
415,2024-02-17,NY,New York,D,Demand,Eastern,Eastern,421321,megawatthours
416,2024-02-16,NY,New York,D,Demand,Eastern,Eastern,426724,megawatthours
417,2024-02-15,NY,New York,D,Demand,Eastern,Eastern,441473,megawatthours
418,2024-02-14,NY,New York,D,Demand,Eastern,Eastern,436800,megawatthours
419,2024-02-13,NY,New York,D,Demand,Eastern,Eastern,427326,megawatthours
420,2024-02-12,NY,New York,D,Demand,Eastern,Eastern,408515,megawatthours
421,2024-02-11,NY,New York,D,Demand,Eastern,Eastern,375216,megawatthours
422,2024-02-10,NY,New York,D,Demand,Eastern,Eastern,366403,megawatthours
423,2024-02-09,NY,New York,D,Demand,Eastern,Eastern,390065,megawatthours
424,2024-02-08,NY,New York,D,Demand,Eastern,Eastern,403921,megawatthours
425,2024-02-07,NY,New York,D,Demand,Eastern,Eastern,419883,megawatthours
426,2024-02-06,NY,New York,D,Demand,Eastern,Eastern,423078,megawatthours
427,2024-02-05,NY,New York,D,Demand,Eastern,Eastern,418621,megawatthours
428,2024-02-04,NY,New York,D,Demand,Eastern,Eastern,388873,megawatthours
429,2024-02-03,NY,New York,D,Demand,Eastern,Eastern,394338,megawatthours
430,2024-02-02,NY,New York,D,Demand,Eastern,Eastern,422726,megawatthours
431,2024-02-01,NY,New York,D,Demand,Eastern,Eastern,427766,megawatthours
432,2024-01-31,NY,New York,D,Demand,Eastern,Eastern,435711,megawatthours
433,2024-01-30,NY,New York,D,Demand,Eastern,Eastern,442912,megawatthours
434,2024-01-29,NY,New York,D,Demand,Eastern,Eastern,438516,megawatthours
435,2024-01-28,NY,New York,D,Demand,Eastern,Eastern,404502,megawatthours
436,2024-01-27,NY,New York,D,Demand,Eastern,Eastern,391839,megawatthours
437,2024-01-26,NY,New York,D,Demand,Eastern,Eastern,415228,megawatthours
438,2024-01-25,NY,New York,D,Demand,Eastern,Eastern,411051,megawatthours
439,2024-01-24,NY,New York,D,Demand,Eastern,Eastern,434340,megawatthours
440,2024-01-23,NY,New York,D,Demand,Eastern,Eastern,446742,megawatthours
441,2024-01-22,NY,New York,D,Demand,Eastern,Eastern,468156,megawatthours
442,2024-01-21,NY,New York,D,Demand,Eastern,Eastern,463436,megawatthours
443,2024-01-20,NY,New York,D,Demand,Eastern,Eastern,473397,megawatthours
444,2024-01-19,NY,New York,D,Demand,Eastern,Eastern,475271,megawatthours
445,2024-01-18,NY,New York,D,Demand,Eastern,Eastern,483811,megawatthours
446,2024-01-17,NY,New York,D,Demand,Eastern,Eastern,461496,megawatthours
447,2024-01-16,NY,New York,D,Demand,Eastern,Eastern,470943,megawatthours
448,2024-01-15,NY,New York,D,Demand,Eastern,Eastern,450200,megawatthours
449,2024-01-14,NY,New York,D,Demand,Eastern,Eastern,411754,megawatthours
450,2024-01-13,NY,New York,D,Demand,Eastern,Eastern,389538,megawatthours
451,2024-01-12,NY,New York,D,Demand,Eastern,Eastern,406979,megawatthours
452,2024-01-11,NY,New York,D,Demand,Eastern,Eastern,416354,megawatthours
453,2024-01-10,NY,New York,D,Demand,Eastern,Eastern,410623,megawatthours
454,2024-01-09,NY,New York,D,Demand,Eastern,Eastern,435703,megawatthours
455,2024-01-08,NY,New York,D,Demand,Eastern,Eastern,429591,megawatthours
456,2024-01-07,NY,New York,D,Demand,Eastern,Eastern,418058,megawatthours
457,2024-01-06,NY,New York,D,Demand,Eastern,Eastern,426204,megawatthours
458,2024-01-05,NY,New York,D,Demand,Eastern,Eastern,443452,megawatthours
459,2024-01-04,NY,New York,D,Demand,Eastern,Eastern,430238,megawatthours
460,2024-01-03,NY,New York,D,Demand,Eastern,Eastern,427709,megawatthours
461,2024-01-02,NY,New York,D,Demand,Eastern,Eastern,423513,megawatthours
462,2024-01-01,NY,New York,D,Demand,Eastern,Eastern,387760,megawatthours
463,2023-12-31,NY,New York,D,Demand,Eastern,Eastern,390049,megawatthours
464,2023-12-30,NY,New York,D,Demand,Eastern,Eastern,382382,megawatthours
465,2023-12-29,NY,New York,D,Demand,Eastern,Eastern,384132,megawatthours
466,2023-12-28,NY,New York,D,Demand,Eastern,Eastern,389848,megawatthours
467,2023-12-27,NY,New York,D,Demand,Eastern,Eastern,394055,megawatthours
468,2023-12-26,NY,New York,D,Demand,Eastern,Eastern,391138,megawatthours
469,2023-12-25,NY,New York,D,Demand,Eastern,Eastern,360649,megawatthours
470,2023-12-24,NY,New York,D,Demand,Eastern,Eastern,384835,megawatthours
471,2023-12-23,NY,New York,D,Demand,Eastern,Eastern,411441,megawatthours
472,2023-12-22,NY,New York,D,Demand,Eastern,Eastern,436126,megawatthours
473,2023-12-21,NY,New York,D,Demand,Eastern,Eastern,429908,megawatthours
474,2023-12-20,NY,New York,D,Demand,Eastern,Eastern,435155,megawatthours
475,2023-12-19,NY,New York,D,Demand,Eastern,Eastern,428070,megawatthours
476,2023-12-18,NY,New York,D,Demand,Eastern,Eastern,403894,megawatthours
477,2023-12-17,NY,New York,D,Demand,Eastern,Eastern,380944,megawatthours
478,2023-12-16,NY,New York,D,Demand,Eastern,Eastern,376701,megawatthours
479,2023-12-15,NY,New York,D,Demand,Eastern,Eastern,406664,megawatthours
480,2023-12-14,NY,New York,D,Demand,Eastern,Eastern,429718,megawatthours
481,2023-12-13,NY,New York,D,Demand,Eastern,Eastern,422306,megawatthours
482,2023-12-12,NY,New York,D,Demand,Eastern,Eastern,416767,megawatthours
483,2023-12-11,NY,New York,D,Demand,Eastern,Eastern,419515,megawatthours
484,2023-12-10,NY,New York,D,Demand,Eastern,Eastern,376182,megawatthours
485,2023-12-09,NY,New York,D,Demand,Eastern,Eastern,373711,megawatthours
486,2023-12-08,NY,New York,D,Demand,Eastern,Eastern,412205,megawatthours
487,2023-12-07,NY,New York,D,Demand,Eastern,Eastern,442171,megawatthours
488,2023-12-06,NY,New York,D,Demand,Eastern,Eastern,431962,megawatthours
489,2023-12-05,NY,New York,D,Demand,Eastern,Eastern,420938,megawatthours
490,2023-12-04,NY,New York,D,Demand,Eastern,Eastern,403910,megawatthours
491,2023-12-03,NY,New York,D,Demand,Eastern,Eastern,381390,megawatthours
492,2023-12-02,NY,New York,D,Demand,Eastern,Eastern,378264,megawatthours
493,2023-12-01,NY,New York,D,Demand,Eastern,Eastern,410305,megawatthours
494,2023-11-30,NY,New York,D,Demand,Eastern,Eastern,414521,megawatthours
495,2023-11-29,NY,New York,D,Demand,Eastern,Eastern,441816,megawatthours
496,2023-11-28,NY,New York,D,Demand,Eastern,Eastern,431182,megawatthours
497,2023-11-27,NY,New York,D,Demand,Eastern,Eastern,402302,megawatthours
498,2023-11-26,NY,New York,D,Demand,Eastern,Eastern,381840,megawatthours
499,2023-11-25,NY,New York,D,Demand,Eastern,Eastern,385287,megawatthours
500,2023-11-24,NY,New York,D,Demand,Eastern,Eastern,374717,megawatthours
501,2023-11-23,NY,New York,D,Demand,Eastern,Eastern,357208,megawatthours
502,2023-11-22,NY,New York,D,Demand,Eastern,Eastern,399455,megawatthours
503,2023-11-21,NY,New York,D,Demand,Eastern,Eastern,422208,megawatthours
504,2023-11-20,NY,New York,D,Demand,Eastern,Eastern,398738,megawatthours
505,2023-11-19,NY,New York,D,Demand,Eastern,Eastern,361956,megawatthours
506,2023-11-18,NY,New York,D,Demand,Eastern,Eastern,353161,megawatthours
507,2023-11-17,NY,New York,D,Demand,Eastern,Eastern,376382,megawatthours
508,2023-11-16,NY,New York,D,Demand,Eastern,Eastern,379487,megawatthours
509,2023-11-15,NY,New York,D,Demand,Eastern,Eastern,390690,megawatthours
510,2023-11-14,NY,New York,D,Demand,Eastern,Eastern,397633,megawatthours
511,2023-11-13,NY,New York,D,Demand,Eastern,Eastern,402867,megawatthours
512,2023-11-12,NY,New York,D,Demand,Eastern,Eastern,369083,megawatthours
513,2023-11-11,NY,New York,D,Demand,Eastern,Eastern,363503,megawatthours
514,2023-11-10,NY,New York,D,Demand,Eastern,Eastern,386341,megawatthours
515,2023-11-09,NY,New York,D,Demand,Eastern,Eastern,393383,megawatthours
516,2023-11-08,NY,New York,D,Demand,Eastern,Eastern,383652,megawatthours
517,2023-11-07,NY,New York,D,Demand,Eastern,Eastern,377906,megawatthours
518,2023-11-06,NY,New York,D,Demand,Eastern,Eastern,380687,megawatthours
519,2023-11-05,NY,New York,D,Demand,Eastern,Eastern,356806,megawatthours
520,2023-11-04,NY,New York,D,Demand,Eastern,Eastern,353806,megawatthours
521,2023-11-03,NY,New York,D,Demand,Eastern,Eastern,376754,megawatthours
522,2023-11-02,NY,New York,D,Demand,Eastern,Eastern,393357,megawatthours
523,2023-11-01,NY,New York,D,Demand,Eastern,Eastern,391850,megawatthours
524,2023-10-31,NY,New York,D,Demand,Eastern,Eastern,376276,megawatthours
525,2023-10-30,NY,New York,D,Demand,Eastern,Eastern,381897,megawatthours
526,2023-10-29,NY,New York,D,Demand,Eastern,Eastern,350128,megawatthours
527,2023-10-28,NY,New York,D,Demand,Eastern,Eastern,354555,megawatthours
528,2023-10-27,NY,New York,D,Demand,Eastern,Eastern,372224,megawatthours
529,2023-10-26,NY,New York,D,Demand,Eastern,Eastern,372609,megawatthours
530,2023-10-25,NY,New York,D,Demand,Eastern,Eastern,368089,megawatthours
531,2023-10-24,NY,New York,D,Demand,Eastern,Eastern,367799,megawatthours
532,2023-10-23,NY,New York,D,Demand,Eastern,Eastern,364232,megawatthours
533,2023-10-22,NY,New York,D,Demand,Eastern,Eastern,341587,megawatthours
534,2023-10-21,NY,New York,D,Demand,Eastern,Eastern,347420,megawatthours
535,2023-10-20,NY,New York,D,Demand,Eastern,Eastern,372367,megawatthours
536,2023-10-19,NY,New York,D,Demand,Eastern,Eastern,362798,megawatthours
537,2023-10-18,NY,New York,D,Demand,Eastern,Eastern,370005,megawatthours
538,2023-10-17,NY,New York,D,Demand,Eastern,Eastern,367636,megawatthours
539,2023-10-16,NY,New York,D,Demand,Eastern,Eastern,365421,megawatthours
540,2023-10-15,NY,New York,D,Demand,Eastern,Eastern,336784,megawatthours
541,2023-10-14,NY,New York,D,Demand,Eastern,Eastern,347869,megawatthours
542,2023-10-13,NY,New York,D,Demand,Eastern,Eastern,354007,megawatthours
543,2023-10-12,NY,New York,D,Demand,Eastern,Eastern,360176,megawatthours
544,2023-10-11,NY,New York,D,Demand,Eastern,Eastern,364173,megawatthours
545,2023-10-10,NY,New York,D,Demand,Eastern,Eastern,362268,megawatthours
546,2023-10-09,NY,New York,D,Demand,Eastern,Eastern,352285,megawatthours
547,2023-10-08,NY,New York,D,Demand,Eastern,Eastern,324694,megawatthours
548,2023-10-07,NY,New York,D,Demand,Eastern,Eastern,362531,megawatthours
549,2023-10-06,NY,New York,D,Demand,Eastern,Eastern,409244,megawatthours
550,2023-10-05,NY,New York,D,Demand,Eastern,Eastern,407490,megawatthours
551,2023-10-04,NY,New York,D,Demand,Eastern,Eastern,421794,megawatthours
552,2023-10-03,NY,New York,D,Demand,Eastern,Eastern,398934,megawatthours
553,2023-10-02,NY,New York,D,Demand,Eastern,Eastern,386038,megawatthours
554,2023-10-01,NY,New York,D,Demand,Eastern,Eastern,342239,megawatthours
555,2023-09-30,NY,New York,D,Demand,Eastern,Eastern,343517,megawatthours
556,2023-09-29,NY,New York,D,Demand,Eastern,Eastern,371057,megawatthours
557,2023-09-28,NY,New York,D,Demand,Eastern,Eastern,358569,megawatthours
558,2023-09-27,NY,New York,D,Demand,Eastern,Eastern,351547,megawatthours
559,2023-09-26,NY,New York,D,Demand,Eastern,Eastern,362953,megawatthours
560,2023-09-25,NY,New York,D,Demand,Eastern,Eastern,369004,megawatthours
561,2023-09-24,NY,New York,D,Demand,Eastern,Eastern,347665,megawatthours
562,2023-09-23,NY,New York,D,Demand,Eastern,Eastern,347082,megawatthours
563,2023-09-22,NY,New York,D,Demand,Eastern,Eastern,368390,megawatthours
564,2023-09-21,NY,New York,D,Demand,Eastern,Eastern,371396,megawatthours
565,2023-09-20,NY,New York,D,Demand,Eastern,Eastern,372949,megawatthours
566,2023-09-19,NY,New York,D,Demand,Eastern,Eastern,379157,megawatthours
567,2023-09-18,NY,New York,D,Demand,Eastern,Eastern,401057,megawatthours
568,2023-09-17,NY,New York,D,Demand,Eastern,Eastern,356750,megawatthours
569,2023-09-16,NY,New York,D,Demand,Eastern,Eastern,347287,megawatthours
570,2023-09-15,NY,New York,D,Demand,Eastern,Eastern,371734,megawatthours
571,2023-09-14,NY,New York,D,Demand,Eastern,Eastern,416021,megawatthours
572,2023-09-13,NY,New York,D,Demand,Eastern,Eastern,462646,megawatthours
573,2023-09-12,NY,New York,D,Demand,Eastern,Eastern,469119,megawatthours
574,2023-09-11,NY,New York,D,Demand,Eastern,Eastern,480290,megawatthours
575,2023-09-10,NY,New York,D,Demand,Eastern,Eastern,450864,megawatthours
576,2023-09-09,NY,New York,D,Demand,Eastern,Eastern,484367,megawatthours
577,2023-09-08,NY,New York,D,Demand,Eastern,Eastern,531312,megawatthours
578,2023-09-07,NY,New York,D,Demand,Eastern,Eastern,583530,megawatthours
579,2023-09-06,NY,New York,D,Demand,Eastern,Eastern,590859,megawatthours
580,2023-09-05,NY,New York,D,Demand,Eastern,Eastern,567735,megawatthours
581,2023-09-04,NY,New York,D,Demand,Eastern,Eastern,495882,megawatthours
582,2023-09-03,NY,New York,D,Demand,Eastern,Eastern,438201,megawatthours
583,2023-09-02,NY,New York,D,Demand,Eastern,Eastern,379217,megawatthours
584,2023-09-01,NY,New York,D,Demand,Eastern,Eastern,390399,megawatthours
585,2023-08-31,NY,New York,D,Demand,Eastern,Eastern,404950,megawatthours
586,2023-08-30,NY,New York,D,Demand,Eastern,Eastern,459840,megawatthours
587,2023-08-29,NY,New York,D,Demand,Eastern,Eastern,459067,megawatthours
588,2023-08-28,NY,New York,D,Demand,Eastern,Eastern,444158,megawatthours
589,2023-08-27,NY,New York,D,Demand,Eastern,Eastern,419960,megawatthours
590,2023-08-26,NY,New York,D,Demand,Eastern,Eastern,444657,megawatthours
591,2023-08-25,NY,New York,D,Demand,Eastern,Eastern,452775,megawatthours
592,2023-08-24,NY,New York,D,Demand,Eastern,Eastern,430894,megawatthours
593,2023-08-23,NY,New York,D,Demand,Eastern,Eastern,424054,megawatthours
594,2023-08-22,NY,New York,D,Demand,Eastern,Eastern,440861,megawatthours
595,2023-08-21,NY,New York,D,Demand,Eastern,Eastern,495605,megawatthours
596,2023-08-20,NY,New York,D,Demand,Eastern,Eastern,409987,megawatthours
597,2023-08-19,NY,New York,D,Demand,Eastern,Eastern,382469,megawatthours
598,2023-08-18,NY,New York,D,Demand,Eastern,Eastern,451794,megawatthours
599,2023-08-17,NY,New York,D,Demand,Eastern,Eastern,479408,megawatthours
600,2023-08-16,NY,New York,D,Demand,Eastern,Eastern,480007,megawatthours
601,2023-08-15,NY,New York,D,Demand,Eastern,Eastern,481777,megawatthours
602,2023-08-14,NY,New York,D,Demand,Eastern,Eastern,487917,megawatthours
603,2023-08-13,NY,New York,D,Demand,Eastern,Eastern,460411,megawatthours
604,2023-08-12,NY,New York,D,Demand,Eastern,Eastern,444920,megawatthours
605,2023-08-11,NY,New York,D,Demand,Eastern,Eastern,457084,megawatthours
606,2023-08-10,NY,New York,D,Demand,Eastern,Eastern,465105,megawatthours
607,2023-08-09,NY,New York,D,Demand,Eastern,Eastern,469883,megawatthours
608,2023-08-08,NY,New York,D,Demand,Eastern,Eastern,472963,megawatthours
609,2023-08-07,NY,New York,D,Demand,Eastern,Eastern,493552,megawatthours
610,2023-08-06,NY,New York,D,Demand,Eastern,Eastern,434358,megawatthours
611,2023-08-05,NY,New York,D,Demand,Eastern,Eastern,437452,megawatthours
612,2023-08-04,NY,New York,D,Demand,Eastern,Eastern,459470,megawatthours
613,2023-08-03,NY,New York,D,Demand,Eastern,Eastern,445878,megawatthours
614,2023-08-02,NY,New York,D,Demand,Eastern,Eastern,427096,megawatthours
615,2023-08-01,NY,New York,D,Demand,Eastern,Eastern,435324,megawatthours
616,2023-07-31,NY,New York,D,Demand,Eastern,Eastern,446976,megawatthours
617,2023-07-30,NY,New York,D,Demand,Eastern,Eastern,414495,megawatthours
618,2023-07-29,NY,New York,D,Demand,Eastern,Eastern,529835,megawatthours
619,2023-07-28,NY,New York,D,Demand,Eastern,Eastern,577616,megawatthours
620,2023-07-27,NY,New York,D,Demand,Eastern,Eastern,567010,megawatthours
621,2023-07-26,NY,New York,D,Demand,Eastern,Eastern,517627,megawatthours
622,2023-07-25,NY,New York,D,Demand,Eastern,Eastern,506807,megawatthours
623,2023-07-24,NY,New York,D,Demand,Eastern,Eastern,506188,megawatthours
624,2023-07-23,NY,New York,D,Demand,Eastern,Eastern,455533,megawatthours
625,2023-07-22,NY,New York,D,Demand,Eastern,Eastern,449553,megawatthours
626,2023-07-21,NY,New York,D,Demand,Eastern,Eastern,502012,megawatthours
627,2023-07-20,NY,New York,D,Demand,Eastern,Eastern,501495,megawatthours
628,2023-07-19,NY,New York,D,Demand,Eastern,Eastern,490114,megawatthours
629,2023-07-18,NY,New York,D,Demand,Eastern,Eastern,526145,megawatthours
630,2023-07-17,NY,New York,D,Demand,Eastern,Eastern,541307,megawatthours
631,2023-07-16,NY,New York,D,Demand,Eastern,Eastern,497093,megawatthours
632,2023-07-15,NY,New York,D,Demand,Eastern,Eastern,507765,megawatthours
633,2023-07-14,NY,New York,D,Demand,Eastern,Eastern,518623,megawatthours
634,2023-07-13,NY,New York,D,Demand,Eastern,Eastern,547632,megawatthours
635,2023-07-12,NY,New York,D,Demand,Eastern,Eastern,532334,megawatthours
636,2023-07-11,NY,New York,D,Demand,Eastern,Eastern,502830,megawatthours
637,2023-07-10,NY,New York,D,Demand,Eastern,Eastern,496838,megawatthours
638,2023-07-09,NY,New York,D,Demand,Eastern,Eastern,475684,megawatthours
639,2023-07-08,NY,New York,D,Demand,Eastern,Eastern,494545,megawatthours
640,2023-07-07,NY,New York,D,Demand,Eastern,Eastern,543441,megawatthours
641,2023-07-06,NY,New York,D,Demand,Eastern,Eastern,563299,megawatthours
642,2023-07-05,NY,New York,D,Demand,Eastern,Eastern,536105,megawatthours
643,2023-07-04,NY,New York,D,Demand,Eastern,Eastern,471224,megawatthours
644,2023-07-03,NY,New York,D,Demand,Eastern,Eastern,497472,megawatthours
645,2023-07-02,NY,New York,D,Demand,Eastern,Eastern,451059,megawatthours
646,2023-07-01,NY,New York,D,Demand,Eastern,Eastern,439545,megawatthours
647,2023-06-30,NY,New York,D,Demand,Eastern,Eastern,460167,megawatthours
648,2023-06-29,NY,New York,D,Demand,Eastern,Eastern,442343,megawatthours
649,2023-06-28,NY,New York,D,Demand,Eastern,Eastern,447233,megawatthours
650,2023-06-27,NY,New York,D,Demand,Eastern,Eastern,450807,megawatthours
651,2023-06-26,NY,New York,D,Demand,Eastern,Eastern,469876,megawatthours
652,2023-06-25,NY,New York,D,Demand,Eastern,Eastern,436926,megawatthours
653,2023-06-24,NY,New York,D,Demand,Eastern,Eastern,415226,megawatthours
654,2023-06-23,NY,New York,D,Demand,Eastern,Eastern,419329,megawatthours
655,2023-06-22,NY,New York,D,Demand,Eastern,Eastern,397641,megawatthours
656,2023-06-21,NY,New York,D,Demand,Eastern,Eastern,403538,megawatthours
657,2023-06-20,NY,New York,D,Demand,Eastern,Eastern,419516,megawatthours
658,2023-06-19,NY,New York,D,Demand,Eastern,Eastern,407913,megawatthours
659,2023-06-18,NY,New York,D,Demand,Eastern,Eastern,362553,megawatthours
660,2023-06-17,NY,New York,D,Demand,Eastern,Eastern,358573,megawatthours
661,2023-06-16,NY,New York,D,Demand,Eastern,Eastern,399818,megawatthours
662,2023-06-15,NY,New York,D,Demand,Eastern,Eastern,393562,megawatthours
663,2023-06-14,NY,New York,D,Demand,Eastern,Eastern,398769,megawatthours
664,2023-06-13,NY,New York,D,Demand,Eastern,Eastern,403232,megawatthours
665,2023-06-12,NY,New York,D,Demand,Eastern,Eastern,417727,megawatthours
666,2023-06-11,NY,New York,D,Demand,Eastern,Eastern,368404,megawatthours
667,2023-06-10,NY,New York,D,Demand,Eastern,Eastern,345925,megawatthours
668,2023-06-09,NY,New York,D,Demand,Eastern,Eastern,365957,megawatthours
669,2023-06-08,NY,New York,D,Demand,Eastern,Eastern,368385,megawatthours
670,2023-06-07,NY,New York,D,Demand,Eastern,Eastern,364924,megawatthours
671,2023-06-06,NY,New York,D,Demand,Eastern,Eastern,373060,megawatthours
672,2023-06-05,NY,New York,D,Demand,Eastern,Eastern,362634,megawatthours
673,2023-06-04,NY,New York,D,Demand,Eastern,Eastern,323676,megawatthours
674,2023-06-03,NY,New York,D,Demand,Eastern,Eastern,368122,megawatthours
675,2023-06-02,NY,New York,D,Demand,Eastern,Eastern,448046,megawatthours
676,2023-06-01,NY,New York,D,Demand,Eastern,Eastern,421942,megawatthours
677,2023-05-31,NY,New York,D,Demand,Eastern,Eastern,389761,megawatthours
678,2023-05-30,NY,New York,D,Demand,Eastern,Eastern,373798,megawatthours
679,2023-05-29,NY,New York,D,Demand,Eastern,Eastern,346952,megawatthours
680,2023-05-28,NY,New York,D,Demand,Eastern,Eastern,331256,megawatthours
681,2023-05-27,NY,New York,D,Demand,Eastern,Eastern,327519,megawatthours
682,2023-05-26,NY,New York,D,Demand,Eastern,Eastern,344498,megawatthours
683,2023-05-25,NY,New York,D,Demand,Eastern,Eastern,344406,megawatthours
684,2023-05-24,NY,New York,D,Demand,Eastern,Eastern,359851,megawatthours
685,2023-05-23,NY,New York,D,Demand,Eastern,Eastern,355234,megawatthours
686,2023-05-22,NY,New York,D,Demand,Eastern,Eastern,357179,megawatthours
687,2023-05-21,NY,New York,D,Demand,Eastern,Eastern,321377,megawatthours
688,2023-05-20,NY,New York,D,Demand,Eastern,Eastern,340257,megawatthours
689,2023-05-19,NY,New York,D,Demand,Eastern,Eastern,347304,megawatthours
690,2023-05-18,NY,New York,D,Demand,Eastern,Eastern,341869,megawatthours
691,2023-05-17,NY,New York,D,Demand,Eastern,Eastern,349076,megawatthours
692,2023-05-16,NY,New York,D,Demand,Eastern,Eastern,365366,megawatthours
693,2023-05-15,NY,New York,D,Demand,Eastern,Eastern,353202,megawatthours
