Date,MWh,Min_temp,Max_temp,Avg_temp
2020-04-30,350924,12.6,15.3,13.95
2020-05-01,339664,13.9,18.4,16.15
2020-05-02,310851,15.1,21.4,18.25
2020-05-03,308151,17.5,24.5,21.0
2020-05-04,337291,15.0,20.0,17.5
2020-05-05,332300,10.5,14.9,12.7
2020-05-06,344727,8.6,11.5,10.05
2020-05-07,335328,11.5,16.9,14.2
2020-05-08,346524,8.5,10.8,9.65
2020-05-09,344123,4.6,8.0,6.3
2020-05-10,322396,9.3,15.9,12.600000000000001
2020-05-11,349356,10.2,14.9,12.55
2020-05-12,346632,9.2,14.7,11.95
2020-05-13,339307,9.3,15.7,12.5
2020-05-14,337978,11.4,16.2,13.8
2020-05-15,349492,20.2,27.6,23.9
2020-05-16,329775,19.1,23.3,21.200000000000003
2020-05-17,314957,13.3,16.4,14.85
2020-05-18,338796,14.7,20.2,17.45
2020-05-19,332387,14.0,18.2,16.1
2020-05-20,331513,12.2,17.1,14.65
2020-05-21,332967,11.3,15.9,13.600000000000001
2020-05-22,347239,16.3,22.0,19.15
2020-05-23,342404,16.1,20.2,18.15
2020-05-24,321627,13.8,18.7,16.25
2020-05-25,339453,15.2,19.8,17.5
2020-05-26,392903,16.7,21.7,19.2
2020-05-27,409021,17.4,22.1,19.75
2020-05-28,406851,18.8,22.8,20.8
2020-05-29,415414,22.1,25.7,23.9
2020-05-30,368260,22.2,26.0,24.1
2020-05-31,325062,16.3,20.4,18.35
2020-06-01,342877,14.7,19.5,17.1
2020-06-02,354817,17.4,21.5,19.45
2020-06-03,387358,21.2,28.7,24.95
2020-06-04,421995,22.7,29.0,25.85
2020-06-05,437673,21.6,24.1,22.85
2020-06-06,422362,24.1,29.3,26.700000000000003
2020-06-07,356636,19.8,24.5,22.15
2020-06-08,383467,19.2,25.3,22.25
2020-06-09,435300,22.8,30.3,26.55
2020-06-10,479478,22.9,26.8,24.85
2020-06-11,459278,23.9,28.3,26.1
2020-06-12,428356,23.5,28.4,25.95
2020-06-13,357046,18.8,22.7,20.75
2020-06-14,337827,16.6,22.0,19.3
2020-06-15,373907,17.8,22.6,20.200000000000003
2020-06-16,386066,18.5,24.1,21.3
2020-06-17,405260,18.8,24.5,21.65
2020-06-18,437800,19.8,23.4,21.6
2020-06-19,459477,21.3,24.8,23.05
2020-06-20,454682,22.7,27.0,24.85
2020-06-21,467528,23.4,27.5,25.45
2020-06-22,529362,25.2,30.4,27.799999999999997
2020-06-23,528120,24.2,27.7,25.95
2020-06-24,493863,25.5,30.0,27.75
2020-06-25,464667,23.4,28.5,25.95
2020-06-26,471196,24.1,30.2,27.15
2020-06-27,435377,23.1,26.4,24.75
2020-06-28,460176,24.1,28.7,26.4
2020-06-29,491415,24.1,29.0,26.55
2020-06-30,462231,22.1,25.4,23.75
2020-07-01,466835,22.5,26.5,24.5
2020-07-02,504550,25.2,31.7,28.45
2020-07-03,506370,26.2,31.5,28.85
2020-07-04,460584,23.6,28.8,26.200000000000003
2020-07-05,481033,25.9,32.4,29.15
2020-07-06,534612,26.0,32.6,29.3
2020-07-07,518063,23.9,26.6,25.25
2020-07-08,546111,25.0,28.1,26.55
2020-07-09,568242,25.3,29.6,27.450000000000003
2020-07-10,538624,23.2,24.3,23.75
2020-07-11,505563,24.8,28.2,26.5
2020-07-12,490645,25.7,30.9,28.299999999999997
2020-07-13,522728,25.7,31.1,28.4
2020-07-14,507747,24.4,28.1,26.25
2020-07-15,500716,22.9,25.2,24.049999999999997
2020-07-16,477647,21.9,24.0,22.95
2020-07-17,487883,24.0,29.2,26.6
2020-07-18,510991,26.1,32.6,29.35
2020-07-19,547632,27.4,33.7,30.55
2020-07-20,607949,29.7,35.7,32.7
2020-07-21,569133,26.7,31.7,29.2
2020-07-22,573146,27.3,31.7,29.5
2020-07-23,563358,25.8,31.0,28.4
2020-07-24,524058,24.0,25.8,24.9
2020-07-25,515492,25.5,29.8,27.65
2020-07-26,542869,28.0,34.1,31.05
2020-07-27,606105,28.8,35.4,32.1
2020-07-28,610363,28.9,34.1,31.5
2020-07-29,569606,27.0,31.2,29.1
2020-07-30,564827,27.7,32.4,30.049999999999997
2020-07-31,515962,24.4,27.0,25.7
2020-08-01,502101,25.1,29.4,27.25
2020-08-02,532933,26.2,28.9,27.549999999999997
2020-08-03,564260,27.0,31.5,29.25
2020-08-04,490292,24.4,26.6,25.5
2020-08-05,476606,25.6,30.6,28.1
2020-08-06,459526,22.1,25.3,23.700000000000003
2020-08-07,458152,23.6,27.1,25.35
2020-08-08,459416,23.3,26.3,24.8
2020-08-09,485315,24.8,29.0,26.9
2020-08-10,577610,26.6,31.3,28.950000000000003
2020-08-11,586464,26.5,29.1,27.8
2020-08-12,569205,26.7,30.6,28.65
2020-08-13,526121,24.3,25.5,24.9
2020-08-14,524632,25.4,29.5,27.45
2020-08-15,466205,23.6,28.7,26.15
2020-08-16,420784,20.1,21.6,20.85
2020-08-17,452051,20.8,25.8,23.3
2020-08-18,459762,23.2,28.2,25.7
2020-08-19,437148,21.0,23.7,22.35
2020-08-20,430165,20.9,25.6,23.25
2020-08-21,469932,23.2,28.5,25.85
2020-08-22,488545,25.0,29.8,27.4
2020-08-23,494350,24.3,28.2,26.25
2020-08-24,560478,25.8,31.6,28.700000000000003
2020-08-25,544676,26.4,32.9,29.65
2020-08-26,445425,22.3,25.9,24.1
2020-08-27,492221,25.0,33.3,29.15
2020-08-28,488871,24.4,31.4,27.9
2020-08-29,467998,23.7,25.4,24.549999999999997
2020-08-30,406151,21.5,25.5,23.5
2020-08-31,419440,19.8,23.1,21.450000000000003
2020-09-01,450704,21.9,24.8,23.35
